%time,field.data
1405610000000,-0.0343216657639
1405650000000,-0.0340515375137
1405650000000,-0.0339564681053
1405690000000,-0.0343618988991
1405690000000,-0.0341354608536
1405730000000,-0.0349568128586
1405730000000,-0.0349766016006
1405770000000,-0.0339189767838
1405770000000,-0.0355841517448
1405810000000,-0.0355013012886
1405810000000,-0.0348670482635
1405850000000,-0.0354085564613
1405850000000,-0.0345795750618
1405890000000,-0.0344265699387
1405890000000,-0.0331034660339
1405930000000,-0.0344704389572
1405930000000,-0.0350387096405
1405970000000,-0.0359125733376
1405970000000,-0.0362104177475
1406010000000,-0.0357774496078
1406010000000,-0.0356153845787
1406050000000,-0.0356226563454
1406050000000,-0.0348299741745
1406090000000,-0.0354670286179
1406090000000,-0.0352679491043
1406130000000,-0.0361048579216
1406130000000,-0.0355187654495
1406170000000,-0.0352986454964
1406170000000,-0.0351972579956
1406210000000,-0.0346392393112
1406210000000,-0.0360116362572
1406250000000,-0.0358706116676
1406250000000,-0.0357677340508
1406290000000,-0.0359219908714
1406290000000,-0.0361406207085
1406330000000,-0.0353089570999
1406330000000,-0.0343100428581
1406370000000,-0.0350096821785
1406370000000,-0.0336530804634
1406410000000,-0.0342972874641
1406410000000,-0.03396910429
1406450000000,-0.0352588891983
1406450000000,-0.0355967283249
1406490000000,-0.0367106199265
1406490000000,-0.0364688038826
1406530000000,-0.0356520414352
1406530000000,-0.0354828238487
1406570000000,-0.0359758138657
1406570000000,-0.0363997817039
1406610000000,-0.0356851220131
1406610000000,-0.0351670980453
1406650000000,-0.035199701786
1406650000000,-0.0346159338951
1406690000000,-0.033783018589
1406690000000,-0.0347744226456
1406730000000,-0.0348832011223
1406730000000,-0.0352782011032
1406770000000,-0.0354189276695
1406770000000,-0.0352304577827
1406810000000,-0.0349712967873
1406810000000,-0.0337201952934
1406850000000,-0.0338134169579
1406850000000,-0.0339590907097
1406890000000,-0.0346354842186
1406890000000,-0.0346590876579
1406930000000,-0.0352460741997
1406930000000,-0.035383939743
1406970000000,-0.0357039570808
1406970000000,-0.0338608026505
1407010000000,-0.0349087119102
1407010000000,-0.0339541435242
1407050000000,-0.0328006148338
1407050000000,-0.0332319140434
1407090000000,-0.0320662856102
1407090000000,-0.0303581357002
1407130000000,-0.0297980308533
1407130000000,-0.028639793396
1407170000000,-0.0261998772621
1407170000000,-0.0255317091942
1407210000000,-0.0222333669662
1407210000000,-0.0204083323479
1407250000000,-0.0176835656166
1407250000000,-0.0143541097641
1407290000000,-0.00953036546707
1407290000000,-0.00484430789948
1407330000000,1.93119049072e-05
1407330000000,0.00579226016998
1407370000000,0.0119854211807
1407370000000,0.0180487632751
1407420000000,0.0246782302856
1407420000000,0.0122711658478
1407460000000,-0.0017374753952
1407460000000,-0.0179941654205
1407460000000,-0.0313572883606
1407500000000,-0.0450687408447
1407500000000,-0.0590041279793
1407510000000,-0.0716304183006
1407530000000,-0.0862065553665
1407580000000,-0.0977801680565
1407580000000,-0.110383093357
1407620000000,-0.121748030186
1407620000000,-0.1340097785
1407660000000,-0.144043982029
1407660000000,-0.153783082962
1407700000000,-0.164416491985
1407700000000,-0.173071265221
1407740000000,-0.179508030415
1407740000000,-0.186358392239
1407780000000,-0.192437291145
1407780000000,-0.19736969471
1407820000000,-0.201571404934
1407820000000,-0.205655634403
1407860000000,-0.209106385708
1407860000000,-0.211285173893
1407900000000,-0.214946687222
1407900000000,-0.215895473957
1407940000000,-0.21921813488
1407940000000,-0.221517324448
1407980000000,-0.225780546665
1407980000000,-0.226372599602
1408020000000,-0.227569162846
1408020000000,-0.22755998373
1408060000000,-0.228052139282
1408060000000,-0.228375971317
1408100000000,-0.228309988976
1408100000000,-0.227028250694
1408140000000,-0.225621044636
1408140000000,-0.223206818104
1408180000000,-0.221777200699
1408180000000,-0.218434333801
1408220000000,-0.216078281403
1408220000000,-0.211925923824
1408260000000,-0.208631455898
1408260000000,-0.203989624977
1408300000000,-0.200209915638
1408300000000,-0.197215259075
1408340000000,-0.1927780509
1408340000000,-0.188901662827
1408380000000,-0.183670520782
1408380000000,-0.178678631783
1408420000000,-0.17401444912
1408420000000,-0.168616116047
1408460000000,-0.164176404476
1408460000000,-0.160223126411
1408500000000,-0.155536353588
1408500000000,-0.152577698231
1408540000000,-0.145991027355
1408540000000,-0.137994468212
1408580000000,-0.129740357399
1408580000000,-0.122576057911
1408630000000,-0.115915417671
1408630000000,-0.110659241676
1408670000000,-0.10708540678
1408670000000,-0.102100729942
1408710000000,-0.0996134877205
1408710000000,-0.0940279364586
1408750000000,-0.0922055840492
1408750000000,-0.0876881480217
1408790000000,-0.0856721997261
1408790000000,-0.0824014544487
1408830000000,-0.0811764597893
1408830000000,-0.0765620470047
1408870000000,-0.0760949254036
1408870000000,-0.0737738013268
1408910000000,-0.0726224184036
1408910000000,-0.0699680447578
1408950000000,-0.0668525099754
1408950000000,-0.0648527145386
1408990000000,-0.0630269646645
1408990000000,-0.0614938139915
1409040000000,-0.0614407658577
1409040000000,-0.0587142109871
1409040000000,-0.0564679503441
1409080000000,-0.0553159117699
1409080000000,-0.0524480342865
1409090000000,-0.0505341887474
1409110000000,-0.048074901104
1409150000000,-0.0455195903778
1409190000000,-0.0446112155914
1409190000000,-0.0417600870132
1409230000000,-0.0408488512039
1409230000000,-0.037848174572
1409270000000,-0.0370687842369
1409270000000,-0.0351276993752
1409310000000,-0.0351982712746
1409310000000,-0.0328145623207
1409350000000,-0.0339041948318
1409350000000,-0.0329041481018
1409390000000,-0.0328546762466
1409390000000,-0.0309690833092
1409430000000,-0.0318725705147
1409430000000,-0.0332023501396
1409470000000,-0.0325381755829
1409470000000,-0.0317412614822
1409510000000,-0.0335800647736
1409510000000,-0.0336241722107
1409550000000,-0.0333290100098
1409550000000,-0.0333839654922
1409590000000,-0.0326980352402
1409590000000,-0.0316520929337
1409630000000,-0.0299489498138
1409630000000,-0.0275518298149
1409670000000,-0.0275151729584
1409670000000,-0.0268540382385
1409710000000,-0.0269035696983
1409710000000,-0.0263650417328
1409750000000,-0.0251487493515
1409750000000,-0.0257393121719
1409790000000,-0.0257344841957
1409790000000,-0.0257046222687
1409830000000,-0.0254030823708
1409830000000,-0.0228590965271
1409870000000,-0.0220248699188
1409870000000,-0.02181661129
1409910000000,-0.0217731595039
1409910000000,-0.0198852419853
1409950000000,-0.0197650194168
1409950000000,-0.0195709466934
1409990000000,-0.0187944173813
1409990000000,-0.0188210606575
1410030000000,-0.0189199447632
1410030000000,-0.0168564319611
1410070000000,-0.0166082978249
1410070000000,-0.0150245428085
1410110000000,-0.0146744251251
1410110000000,-0.0138011574745
1410150000000,-0.0148887634277
1410150000000,-0.0139206647873
1410190000000,-0.0116125941277
1410190000000,-0.0111650824547
1410230000000,-0.0108056664467
1410230000000,-0.0104422569275
1410270000000,-0.00834864377975
1410270000000,-0.00567108392715
1410310000000,-0.00311928987503
1410310000000,-0.00139284133911
1410350000000,0.00317227840424
1410350000000,0.0039576292038
1410390000000,0.00719487667084
1410390000000,0.0136704444885
1410430000000,0.0180860757828
1410430000000,0.0211908817291
1410470000000,0.0263335704803
1410470000000,0.0316647291183
1410510000000,0.0345797538757
1410510000000,0.0404855012894
1410550000000,0.0454242229462
1410550000000,0.0459266901016
1410590000000,0.0520502328873
1410590000000,0.0569871664047
1410630000000,0.0596764087677
1410630000000,0.0624125003815
1410670000000,0.0636366605759
1410670000000,0.0674209594727
1410710000000,0.0699787139893
1410710000000,0.0724451541901
1410750000000,0.0763684511185
1410750000000,0.0736504793167
1410790000000,0.079340338707
1410790000000,0.0795364379883
1410830000000,0.0831570625305
1410830000000,0.0833452939987
1410870000000,0.0807595252991
1410870000000,0.0834374427795
1410910000000,0.0868122577667
1410910000000,0.0906599760056
1410950000000,0.0915238857269
1410950000000,0.0938197374344
1410990000000,0.0971673727036
1410990000000,0.100145459175
1411030000000,0.102921009064
1411030000000,0.10259103775
1411070000000,0.102064490318
1411070000000,0.103595137596
1411110000000,0.10658454895
1411110000000,0.109829902649
1411150000000,0.110283970833
1411150000000,0.109723806381
1411190000000,0.110902667046
1411190000000,0.110526680946
1411230000000,0.109018921852
1411230000000,0.111592292786
1411270000000,0.110315322876
1411270000000,0.11471247673
1411310000000,0.116368055344
1411310000000,0.115868210793
1411350000000,0.11799633503
1411350000000,0.117911696434
1411390000000,0.116810202599
1411390000000,0.115095615387
1411430000000,0.117585062981
1411430000000,0.12092089653
1411470000000,0.122649431229
1411470000000,0.128557562828
1411510000000,0.127992391586
1411510000000,0.127464413643
1411550000000,0.134253025055
1411550000000,0.13086605072
1411590000000,0.13652741909
1411590000000,0.138582825661
1411630000000,0.142469167709
1411630000000,0.145164489746
1411670000000,0.14636862278
1411670000000,0.152685523033
1411710000000,0.159002423286
1411710000000,0.157014608383
1411750000000,0.159331440926
1411750000000,0.16218483448
1411790000000,0.160773992538
1411790000000,0.166500091553
1411830000000,0.168473243713
1411830000000,0.171941876411
1411870000000,0.171704769135
1411870000000,0.173845052719
1411910000000,0.173856973648
1411910000000,0.173110485077
1411950000000,0.174215912819
1411950000000,0.17537689209
1411990000000,0.1762996912
1411990000000,0.177868723869
1412030000000,0.179766774178
1412030000000,0.182077169418
1412070000000,0.183767795563
1412070000000,0.185343503952
1412110000000,0.18640768528
1412110000000,0.18776512146
1412160000000,0.189203262329
1412160000000,0.189745903015
1412190000000,0.190209984779
1412190000000,0.189986467361
1412230000000,0.189848065376
1412230000000,0.189303636551
1412270000000,0.18668448925
1412270000000,0.186221599579
1412310000000,0.183744549751
1412310000000,0.182058334351
1412320000000,0.180079221725
1412350000000,0.178156852722
1412350000000,0.176252841949
1412370000000,0.174665093422
1412390000000,0.171908855438
1412430000000,0.169089436531
1412470000000,0.167513251305
1412470000000,0.167155504227
1412510000000,0.16476893425
1412510000000,0.163395166397
1412550000000,0.162824273109
1412550000000,0.160096287727
1412590000000,0.157295823097
1412590000000,0.157805323601
1412630000000,0.154962539673
1412630000000,0.152963399887
1412670000000,0.152604699135
1412670000000,0.151188373566
1412710000000,0.150537133217
1412710000000,0.151224732399
1412750000000,0.14929485321
1412750000000,0.148154735565
1412750000000,0.147422552109
1412790000000,0.146150350571
1412790000000,0.14352273941
1412810000000,0.143059253693
1412830000000,0.140585780144
1412870000000,0.141914248466
1412910000000,0.141316890717
1412910000000,0.141290187836
1412950000000,0.141175985336
1412950000000,0.137630701065
1412950000000,0.137769818306
1412990000000,0.135201454163
1412990000000,0.132456183434
1413010000000,0.133765459061
1413030000000,0.133350133896
1413070000000,0.129908561707
1413070000000,0.128044486046
1413110000000,0.127053618431
1413110000000,0.125341534615
1413150000000,0.125900387764
1413150000000,0.125760197639
1413190000000,0.129397630692
1413190000000,0.128365516663
1413230000000,0.12589263916
1413230000000,0.124859333038
1413270000000,0.128895401955
1413270000000,0.128511309624
1413310000000,0.131428599358
1413310000000,0.130422115326
1413350000000,0.131846427917
1413350000000,0.130701065063
1413390000000,0.129781246185
1413390000000,0.130575418472
1413430000000,0.133811116219
1413430000000,0.135507583618
1413470000000,0.13427233696
1413470000000,0.135936975479
1413510000000,0.132650136948
1413510000000,0.132861495018
1413550000000,0.131762742996
1413550000000,0.127801418304
1413600000000,0.130656957626
1413600000000,0.12970995903
1413640000000,0.131046533585
1413640000000,0.133346676826
1413680000000,0.137159705162
1413680000000,0.13716506958
1413720000000,0.137195587158
1413720000000,0.134759187698
1413760000000,0.141240358353
1413760000000,0.139539003372
1413800000000,0.142425656319
1413800000000,0.147699356079
1413840000000,0.149927020073
1413840000000,0.153950810432
1413880000000,0.156288027763
1413880000000,0.160073876381
1413920000000,0.161913275719
1413920000000,0.162241220474
1413960000000,0.162958860397
1413960000000,0.165731430054
1414000000000,0.164349198341
1414000000000,0.168729424477
1414040000000,0.170109391212
1414040000000,0.171890377998
1414080000000,0.170826554298
1414080000000,0.172608852386
1414120000000,0.173743009567
1414120000000,0.174313545227
1414170000000,0.175762653351
1414170000000,0.177178621292
1414210000000,0.178569316864
1414210000000,0.180640459061
1414250000000,0.181397557259
1414250000000,0.182405233383
1414290000000,0.183318972588
1414290000000,0.182575583458
1414330000000,0.182773351669
1414330000000,0.183258295059
1414370000000,0.181788682938
1414370000000,0.18124806881
1414410000000,0.178382873535
1414410000000,0.178238868713
1414450000000,0.175538897514
1414450000000,0.173785567284
1414490000000,0.169948458672
1414490000000,0.166246652603
1414530000000,0.162427306175
1414530000000,0.157531142235
1414570000000,0.151388168335
1414570000000,0.148332476616
1414610000000,0.143144965172
1414610000000,0.13778424263
1414610000000,0.132382154465
1414650000000,0.128499150276
1414650000000,0.122840642929
1414670000000,0.11819922924
1414690000000,0.112532973289
1414730000000,0.108160376549
1414770000000,0.103537917137
1414770000000,0.0992205142975
1414810000000,0.0947434902191
1414810000000,0.0868635177612
1414850000000,0.0815147161484
1414850000000,0.0778279304504
1414890000000,0.071200966835
1414890000000,0.0677868127823
1414930000000,0.0627725124359
1414930000000,0.0590842962265
1414970000000,0.054347038269
1414970000000,0.0517508983612
1415010000000,0.0468095541
1415010000000,0.0432337522507
1415050000000,0.0377836227417
1415050000000,0.0346632003784
1415090000000,0.0296852588654
1415090000000,0.0254560709
1415130000000,0.0214530229568
1415130000000,0.0175406932831
1415170000000,0.0140684843063
1415170000000,0.00957250595093
1415210000000,0.00550401210785
1415210000000,0.0041640996933
1415250000000,-0.000297009944916
1415250000000,-0.00175839662552
1415290000000,-0.00564831495285
1415290000000,-0.00841182470322
1415290000000,-0.0096680521965
